,Ticker,Price,One year price return,One year return percentile,Six month price return,Six month return percentile,Three month price return,Three month return percentile,One month price return,One month return percentile,momentum score,No. of shares to buy
31,PSX,104.08,0.4957998893384017,97.01195219123505,0.258135329329736,89.44223107569721,0.30075123132700865,91.63346613545816,-0.036653091447612085,55.57768924302788,83.41633466135458,96
32,ADM,92.85,0.3997979828436176,95.41832669322709,0.22602581454461407,84.4621513944223,0.15905014062143064,62.54980079681275,0.016754270696452078,90.23904382470118,83.16733067729083,107
33,ZBH,127.5,0.011990700797607444,72.11155378486055,0.19350732017823047,79.8804780876494,0.2218249560861738,81.87250996015936,0.03560448843168862,97.01195219123505,82.71912350597609,78
34,TPR,38.08,-0.033166354798495945,64.9402390438247,0.2566661386556841,88.84462151394422,0.3504551757400374,96.01593625498008,-0.0022507002324064773,80.2788844621514,82.5199203187251,262
35,ORLY,844.03,0.19512056978604697,87.25099601593625,0.3269242862533013,94.22310756972111,0.200014217672567,75.49800796812748,-0.015341001889918047,72.50996015936255,82.37051792828684,11
36,MPC,116.39,0.8662292516483234,99.40239043824701,0.3947942381899672,97.21115537848605,0.17908783034264353,70.11952191235059,-0.03193878399733852,61.155378486055774,81.97211155378486,85
37,TWTR,53.7,-0.02025177887246854,66.93227091633466,0.10402960526315796,65.13944223107569,0.34755332496863245,95.81673306772907,0.2758374910905204,100.0,81.97211155378486,186
38,HON,214.3,0.05423272224239195,76.49402390438246,0.24206826680762397,86.65338645418326,0.29614844921856087,91.03585657370517,-0.014214085284511624,73.30677290836653,81.87250996015936,46
39,OKE,65.7,0.18857878902455136,86.65338645418326,0.1946258202824556,80.0796812749004,0.3025944827093965,92.03187250996015,-0.022321428571428603,68.12749003984064,81.72310756972111,152
40,KHC,40.71,0.18175722160778185,86.05577689243027,0.07555858504997359,59.960159362549796,0.23335231885989915,84.2629482071713,0.03089389718916169,96.41434262948206,81.67330677290836,245
41,CAH,76.87,0.5407866490546223,97.60956175298804,0.4676709530219283,99.00398406374501,0.16021957687530097,63.147410358565736,-0.023928791370651736,66.93227091633466,81.67330677290836,130
42,WYNN,82.47,-0.03022107243650052,65.33864541832669,0.4174974217944312,98.00796812749003,0.3084245597334603,93.02788844621513,-0.01868158019990485,70.11952191235059,81.62350597609561,121
43,BKR,29.53,0.25962957591475644,91.43426294820716,0.029691232107676543,47.808764940239044,0.4184022440823856,98.20717131474103,0.009227614490772362,87.84860557768924,81.32470119521912,338
44,DHI,89.14,-0.1683196399348389,44.42231075697211,0.2793831863157381,91.03585657370517,0.3273927766245446,94.22310756972111,0.028143021914648125,95.61752988047809,81.32470119521912,112
45,HIG,75.83,0.11719579876626708,81.87250996015936,0.15808298551136324,75.0996015936255,0.2311503942019197,83.46613545816733,0.002644453259288637,84.66135458167331,81.27490039840637,131
46,CAG,38.7,0.1751594967766621,85.65737051792829,0.14086263365338425,71.31474103585657,0.19689364347414617,74.3027888446215,0.02299762093576541,93.42629482071713,81.17529880478088,258
47,CB,220.6,0.15970798069396364,85.0597609561753,0.12370081644046628,68.32669322709162,0.21754814724053692,80.67729083665338,0.014326091584542011,89.44223107569721,80.87649402390437,45
48,NOC,545.61,0.4254523755841413,95.61752988047809,0.1257387525161533,68.52589641434263,0.16008249702330324,62.948207171314735,0.02887045068828975,95.81673306772907,80.72709163346613,18
49,BSX,46.27,0.08921845574387954,79.6812749003984,0.21731123388581963,83.26693227091633,0.19468112574231888,73.50597609561753,0.0032523850823937828,85.2589641434263,80.42828685258964,216
